CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,complex_word_count,word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_whole_report
3662,SUNBEAM CORP/FL/,199803,6/3/1998,10-K405,edgar/data/3662/0000950170-98-000413.txt,59,63,-0.033,0.0405,0.51,0.22,1043,2041,27,11,0.029,0.029,0.013,0.005,1495
3662,SUNBEAM CORP/FL/,199805,15/5/1998,10-Q,edgar/data/3662/0000950170-98-001001.txt,41,58,-0.172,0.0339,0.49,0.21,810,1653,64,3,0.025,0.025,0.039,0.002,1046
3662,SUNBEAM CORP/FL/,199808,13/8/1998,NT 10-Q,edgar/data/3662/0000950172-98-000783.txt,10,5,0.333,0.0294,0.36,0.16,197,545,8,5,0.018,0.018,0.015,0.009,5
3662,SUNBEAM CORP/FL/,199811,12/11/1998,10-K/A,edgar/data/3662/0000950170-98-002145.txt,114,82,0.185,0.0687,0.4,0.19,116,2984,48,43,0.038,0.038,0.016,0.014,716
3662,SUNBEAM CORP/FL/,199811,16/11/1998,NT 10-Q,edgar/data/3662/0000950172-98-001203.txt,16,11,0.474,0.033,0.35,0.15,235,291,4,5,0.055,0.055,0.014,0.017,5
3662,SUNBEAM CORP/FL/,199811,25/11/1998,10-Q/A,edgar/data/3662/0000950170-98-002278.txt,3,1,0.5,0.0448,0.54,0.23,72,134,6,0,0.022,0.022,0.045,0,91
3662,SUNBEAM CORP/FL/,199812,22/12/1998,10-Q,edgar/data/3662/0000950170-98-002401.txt,139,130,0.033,0.0456,0.5,0.22,2199,4383,118,41,0.032,0.032,0.027,0.009,271
3662,SUNBEAM CORP/FL/,199812,22/12/1998,10-Q,edgar/data/3662/0000950170-98-002402.txt,16,11,0.015,0.0466,0.51,0.22,2123,290,4,5,0.055,0.055,0.014,0.017,5
3662,SUNBEAM CORP/FL/,199903,31/3/1999,NT 10-K,edgar/data/3662/0000950172-99-000362.txt,11,5,0.375,0.0322,0.35,0.15,218,621,8,3,0.018,0.018,0.013,0.005,3
3662,SUNBEAM CORP/FL/,199905,11/5/1999,10-K,edgar/data/3662/0000950170-99-000775.txt,16,11,0.495,0.0573,0.54,0.24,872,290,4,5,0.055,0.055,0.014,0.017,5
3662,SUNBEAM CORP/FL/,199905,17/5/1999,NT 10-Q,edgar/data/3662/0000950172-99-000584.txt,10,5,0.185,0.0687,0.4,0.19,116,620,13,3,0.016,0.016,0.021,0.005,3
